Unnamed: 0,date,item,Description,Quantity,Unit Price,DISCOUNT,NET TOTAL
3447,29.09.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3451,30.09.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3455,01.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3456,02.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3460,03.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3462,04.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3466,05.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3469,06.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3470,07.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3471,08.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3475,09.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3477,10.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3479,11.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3484,12.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3485,13.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3489,14.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3491,15.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3495,16.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3497,17.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3499,18.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3501,19.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3503,20.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3507,21.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3510,22.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3514,23.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3516,24.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3517,25.10.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3702,22.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3704,02.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3705,05.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3708,11.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3709,19.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3712,21.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3714,25.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3717,15.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3720,16.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3722,17.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3723,18.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3725,19.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
